Run!	Spring!
Who?	Vem?
Help!	Hjälp!
Jump!	Hoppa!
Stop!	Stanna!
Wait!	Vänta!
I see.	Jag förstår.
I see.	Jag ser.
I won!	Jag vann!
Smile.	Le.
Cheers!	Skål!
He ran.	Han sprang.
No way!	Aldrig i livet!
Really?	Jaså?
Thanks.	Tack.
We try.	Vi försöker.
Ask Tom.	Fråga Tom.
Be cool.	Ta det lugnt.
Be nice.	Var trevlig.
Come on.	Kom igen.
Drop it!	Släpp det!
Get Tom.	Hämta Tom.
Get out!	Ut med dig!
Get out!	Ut med er!
Go away.	Gå iväg.
He runs.	Han springer.
I agree.	Jag håller med.
I agree.	Jag instämmer.
It's OK.	Det är okej.
Kiss me.	Kyss mig.
Me, too.	Jag också.
Perfect!	Perfekt!
Show me.	Visa mig.
Tell me.	Berätta för mig.
Wake up!	Vakna!
Wash up.	Tvätta dig.
We lost.	Vi förlorade.
Back off!	Sluta!
Back off!	Lägg av!
Be still.	Var still.
Be still.	Stilla.
Cheer up!	Ryck upp dig!
Cheer up!	Ryck upp er!
Drive on.	Kör vidare.
Find Tom.	Hitta Tom.
Fix this.	Fixa det här.
Fix this.	Laga den här.
Get down.	Ducka.
Get lost!	Stick!
Go on in.	Fortsätt in.
Grab Tom.	Hugg tag i Tom.
Have fun.	Ha det så roligt.
Humor me.	Blidka mig.
Humor me.	Gör mig till viljes.
Hurry up.	Skynda dig!
I forgot.	Jag glömde.
I got it.	Jag förstår.
I stayed.	Jag stannade kvar.
I stayed.	Jag blev kvar.
I use it.	Jag använder det.
I'll pay.	Jag betalar.
I'm busy.	Jag är upptagen.
I'm cold.	Jag fryser.
I'm fine.	Det är okej med mig.
I'm free.	Jag är ledig.
I'm full.	Jag är mätt.
I'm late.	Jag är sen.
I'm next.	Jag är nästa.
I'm next.	Jag är närmast i tur.
I'm warm.	Jag är varm.
It helps.	Det hjälper.
It's Tom.	Det är Tom.
It's fun.	Det är roligt.
It's fun.	Det är kul.
It's fun.	Det är skoj.
It's fun.	Det är skojigt.
Kiss Tom.	Kyss Tom.
Leave it.	Låt det vara.
Leave it.	Låt den vara.
Leave me.	Lämna mig.
Leave us.	Lämna oss.
Marry me.	Gift dig med mig.
May I go?	Kan jag gå?
Stand by.	Var beredd.
Stand by.	Håll dig redo.
Stand by.	Håll dig i närheten.
Stand up!	Stå upp.
Stand up!	Ställ dig upp!
Stand up!	Ställ er upp!
Stay put.	Stanna kvar här.
Stay put.	Stanna kvar.
Stay put.	Sitt kvar.
Stay put.	Stå kvar.
Stay put.	Ligg kvar.
Tom lies.	Tom ljuger.
Tom wept.	Tom grät.
Tom's up.	Tom är uppe.
Use this.	Använd den här.
Use this.	Använd det här.
Use this.	Använd denna.
Use this.	Använd detta.
Use this.	Använd den här!
Warn Tom.	Varna Tom.
Watch me.	Se på mig.
Watch us.	Titta på oss.
Watch us.	Se på oss.
Who died?	Vem dog?
Who died?	Vem har dött?
Who quit?	Vem slutade?
Write me.	Skriv till mig.
Aim. Fire!	Sikta. Skjut!
Answer me.	Svara.
Be seated.	Sätt er.
Be seated.	Sätt dig.
Birds fly.	Fåglar flyger.
Bless you.	Gud välsigne dig.
Calm down.	Lugna ner dig.
Calm down.	Lugna ner er.
Cool down.	Lugna dig.
Do it now.	Gör det nu.
Don't cry.	Gråt inte.
Don't die.	Dö inte.
Don't lie.	Ljug inte.
Don't run.	Spring inte!
Excuse me.	Ursäkta mig.
Forget it.	Glöm det.
Grab that.	Ta tag i den där.
Have some.	Ta lite.
He's a DJ.	Han är dj.
I am cold.	Jag är kall.
I can run.	Jag kan springa.
I can ski.	Jag kan åka skidor.
I fainted.	Jag svimmade.
I give up.	Jag ger upp.
I got hit.	Jag träffades.
I got hit.	Jag blev träffad.
I love it.	Jag älskar det.
I promise.	Jag lovar.
I saw one.	Jag såg en.
I saw one.	Jag såg ett.
I'll call.	Jag ska ringa.
I'll call.	Jag ringer.
I'll cook.	Jag lagar mat.
I'll cook.	Jag fixar maten.
I'll live.	Jag överlever.
I'll live.	Jag överlever nog.
I'm angry.	Jag är arg.
I'm awake.	Jag är vaken.
I'm bored.	Jag har tråkigt.
I'm broke.	Jag är pank.
I'm happy.	Jag är lycklig.
I'm quiet.	Jag är tyst.
I'm quiet.	Jag är tystlåten.
I'm ready!	Jag är redo!
I'm ready!	Jag är färdig!
I'm ready!	Jag är klar!
I'm right.	Jag har rätt.
I'm sober.	Jag är nykter.
I'm sorry.	Förlåt.
I'm tired.	Jag är trött.
I'm upset.	Jag är upprörd.
I'm young.	Jag är ung.
Is it bad?	Är det illa?
It snowed.	Det snöade.
It's 9:15.	Klockan är 9.15.
It's cool.	Den är sval.
It's cool.	Den är cool.
It's dark.	Det är mörkt.
It's fair.	Det är rättvist.
It's fine.	Det är okej.
It's free.	Det är gratis.
It's good.	Det är bra.
It's good.	Den är bra.
It's good.	Det är gott.
It's good.	Den är god.
It's here.	Den är här.
It's here.	Den har kommit.
It's here.	Här är den.
It's huge.	Den är enorm.
It's huge.	Den är jättestor.
It's huge.	Det är jättestort.
It's huge.	Det är enormt.
It's mine.	Det är mitt.
It's mine.	Den är min.
It's okay.	Det är okej.
It's ours.	Den är vår.
It's ours.	Det är vårt.
It's real.	Den är äkta.
It's real.	Det är äkta.
It's real.	Den är verklig.
It's sand.	Det är sand.
It's time.	Det är dags.
It's time.	Tiden är inne.
It's true!	Det är sant.
Keep down.	Håll dig nere.
Keep down.	Håll er nere.
Keep this.	Behåll den här.
Keep this.	Behåll det här.
Keep warm.	Håll dig varm.
Keep warm.	Håll er varma.
Let it go.	Släpp det.
Let me go!	Låt mig gå!
Let me in.	Släpp in mig.
Let's try.	Vi försöker.
Look away.	Titta bort.
Move over.	Flytta på dig.
Of course!	Självklart!
Of course!	Självfallet!
Of course.	Självklart.
Seriously?	Allvarligt?
Seriously?	Seriöst?
Sit still.	Sitt stilla.
